Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Score,CLTV,total_logins,avg_session_minutes,successful_logins,total_transactions,total_amount,avg_transaction,total_internet_usage,avg_download_speed,avg_upload_speed,total_call_minutes,total_sms,total_streaming_hours,support_ticket_count,avg_resolution_time,avg_customer_rating,complaint_count,avg_resolution_days,total_campaigns,emails_opened,emails_clicked,conversions,total_offers,offers_accepted,total_offer_value
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1,86,3239,13,10.692307692307692,10,2,110.92,55.46,509.6,31.75,38.715,3116,670,0.0,2.0,31.5,1.5,3.0,0.0,3,2,1,0,3.0,2.0,1000.0
0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,67,2701,12,12.166666666666666,12,2,156.25,78.125,888.1700000000001,243.36,99.76,2243,770,0.0,4.0,44.25,2.75,3.0,6.0,4,3,0,0,3.0,1.0,100.0
0,0,0,1,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,1,86,5372,27,11.48148148148148,22,8,900.87,112.60875,4050.15,390.31125,150.32999999999998,8914,4149,715.75,5.0,43.4,1.8,2.0,8.0,3,0,0,0,3.0,2.0,529.89
0,0,1,1,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,1,84,5003,39,9.923076923076923,33,28,3284.32,117.29714285714286,15577.2,388.2175,159.93392857142857,39878,9466,4083.83,2.0,35.5,3.5,2.0,2.0,3,3,0,0,2.0,2.0,20.96
1,0,0,1,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,1,89,5340,43,10.883720930232558,39,49,5685.11,116.02265306122447,26380.65,349.7371428571428,155.314693877551,55365,20792,7488.81,3.0,56.0,0.0,3.0,15.0,4,2,0,0,1.0,0.0,0.0
0,0,1,0,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,1,78,5925,14,9.714285714285714,11,10,610.0,61.0,2155.54,46.125,21.946,13245,3699,0.0,3.0,33.333333333333336,2.6666666666666665,1.0,13.0,4,1,1,0,1.0,0.0,0.0
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,1,100,5433,24,10.875,22,1,40.84,40.84,309.51,59.58,24.72,0,0,215.46,5.0,33.8,2.75,3.0,7.5,5,4,2,0,1.0,1.0,0.0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,1,92,4832,10,10.7,9,1,23.78,23.78,0.0,0.0,0.0,474,521,0.0,5.0,45.8,2.8,1.0,0.0,3,1,1,1,1.0,1.0,0.0
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,1,77,5789,51,9.588235294117649,43,47,5211.68,110.8868085106383,24935.78,352.30765957446806,153.29106382978725,52349,19788,6477.6,5.0,61.4,2.0,3.0,9.0,2,1,0,0,2.0,1.0,100.0
1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,1,97,2915,25,11.04,17,1,31.11,31.11,330.13,38.13,20.76,0,0,0.0,2.0,57.5,3.0,1.0,0.0,5,2,1,0,3.0,1.0,9.06
0,0,0,0,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,1,74,3022,23,11.391304347826088,21,17,1213.86,71.4035294117647,3321.86,52.87235294117647,23.94941176470588,23222,6989,2270.52,2.0,34.5,3.5,1.0,12.0,5,2,1,0,1.0,0.0,500.0
1,0,0,1,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,1,66,2454,13,9.615384615384617,11,5,386.85,77.37,3283.13,382.326,176.99,5824,1880,0.0,4.0,43.25,2.6666666666666665,3.0,10.666666666666666,2,1,0,0,2.0,0.0,500.0
1,0,0,1,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3549.25,1,65,2941,44,10.5,39,34,3974.25,116.88970588235294,18453.39,361.3835294117648,145.64794117647057,46428,12772,5016.11,4.0,22.75,1.5,1.0,12.0,5,3,2,1,3.0,0.0,31.9
0,0,0,1,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4,1,70,5674,27,7.111111111111111,20,11,1216.23,110.56636363636365,5562.49,430.4936363636364,141.40727272727273,18705,4493,1310.09,4.0,56.5,2.75,2.0,9.0,3,3,1,1,2.0,2.0,100.0
0,0,0,1,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,144.15,1,90,5586,17,9.941176470588236,15,2,174.22,87.11,751.8199999999999,276.9,126.425,3752,1335,269.36,2.0,31.5,2.5,2.0,7.0,2,0,0,0,2.0,0.0,0.0
0,0,0,1,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1426.4,1,82,2966,36,10.5,34,15,1645.06,109.67066666666666,7865.08,322.1086666666667,177.594,21806,7088,2134.72,5.0,49.0,2.8,3.0,3.0,4,1,0,0,1.0,1.0,0.0
0,1,1,1,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,633.3,1,69,5302,11,8.636363636363637,8,8,700.87,87.60875,4467.88,438.8975,144.94625,11205,2796,0.0,5.0,55.0,2.6666666666666665,2.0,13.5,2,0,0,0,2.0,1.0,16.13
1,1,0,1,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1752.55,1,81,3179,41,11.658536585365852,33,18,1893.75,105.20833333333331,10021.36,420.4011111111111,113.74833333333332,25337,7647,2450.27,3.0,53.333333333333336,2.6666666666666665,2.0,6.0,4,0,0,0,1.0,1.0,9.54
0,0,0,1,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25,1,96,5571,22,11.727272727272728,18,9,936.43,104.04777777777778,5347.09,342.3044444444444,126.32333333333332,9118,3937,1354.51,2.0,15.5,1.5,2.0,6.0,2,1,1,0,3.0,1.0,1000.0
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35,1,87,2483,18,11.88888888888889,15,1,93.63,93.63,491.48,472.27,190.53,199,389,189.52,4.0,36.5,3.0,1.0,6.0,5,1,1,1,3.0,0.0,100.0
0,0,1,1,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,496.9,1,70,3457,18,12.333333333333334,15,7,594.46,84.92285714285715,4347.48,414.6842857142857,157.8857142857143,7069,2532,0.0,5.0,52.8,2.4,2.0,11.5,3,0,0,0,3.0,2.0,22.55
0,0,0,1,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35,1,86,5806,17,12.235294117647058,15,12,1023.2,85.26666666666667,6755.34,353.81916666666666,163.095,13937,4984,0.0,4.0,40.5,3.333333333333333,1.0,0.0,5,3,0,0,1.0,0.0,7.9
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85,1,66,2604,8,12.375,6,5,115.78,23.156,0.0,0.0,0.0,6590,1779,0.0,5.0,52.8,2.2,2.0,8.0,3,2,0,0,3.0,1.0,0.0
0,1,1,1,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5,1,88,5337,28,10.785714285714286,25,25,2753.1,110.124,13503.25,302.80080000000004,161.0964,35437,9986,3525.33,3.0,67.66666666666667,3.333333333333333,1.0,0.0,2,1,1,0,2.0,1.0,100.0
1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,7611.85,1,86,5034,42,11.476190476190476,34,68,8177.4,120.25588235294116,35716.58,380.8325,146.83897058823527,84094,30388,9595.54,4.0,46.75,2.6666666666666665,3.0,7.666666666666667,3,1,1,0,3.0,2.0,0.0
1,0,1,1,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9,1,75,5154,58,11.70689655172414,48,55,5853.03,106.41872727272728,28895.73,344.28363636363633,154.8492727272727,73557,27658,8054.75,5.0,31.6,2.0,2.0,8.0,2,2,0,0,1.0,0.0,500.0
0,1,1,1,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2868.15,1,67,2793,36,11.194444444444445,31,37,3137.3,84.79189189189188,18493.13,329.202972972973,158.9891891891892,47528,11989,0.0,2.0,33.0,3.0,1.0,0.0,2,0,0,0,1.0,1.0,500.0
0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,1064.65,1,87,5998,36,9.583333333333334,28,10,1102.69,110.269,6054.28,347.086,162.695,10314,4762,1368.71,5.0,37.0,2.2,3.0,14.0,2,2,0,0,3.0,0.0,30.07
1,0,0,1,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,229.55,1,76,4415,24,11.916666666666666,24,3,255.93,85.31,1695.91,373.0466666666666,138.46333333333334,4134,752,0.0,4.0,32.0,1.3333333333333333,2.0,9.0,5,2,1,1,3.0,2.0,29.76
0,1,0,1,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,2135.5,1,95,4638,30,12.9,27,27,2322.83,86.03074074074074,14687.25,416.28925925925927,157.39592592592592,39698,10678,0.0,4.0,41.75,2.5,2.0,8.0,2,0,0,0,3.0,1.0,23.41
0,0,1,0,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,1502.65,1,99,4190,33,12.333333333333334,29,25,1599.83,63.9932,5283.85,48.142,25.378,0,0,3167.42,2.0,77.0,2.0,1.0,10.0,2,0,0,0,2.0,0.0,23.44
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,35.45,1,80,2301,11,10.454545454545457,11,1,36.51,36.51,167.02,67.05,13.2,0,0,140.61,3.0,49.66666666666666,2.6666666666666665,2.0,12.5,4,1,0,0,2.0,1.0,110.63
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,81.25,1,76,2570,5,13.2,4,2,102.44,51.22,351.24,46.495000000000005,24.095,1986,812,0.0,3.0,31.666666666666668,2.333333333333333,2.0,7.0,2,1,0,0,1.0,0.0,0.0
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,1,76,3964,15,12.133333333333333,11,1,72.56,72.56,741.4,501.25,206.15,940,680,0.0,4.0,32.75,1.5,2.0,5.0,2,1,0,0,3.0,0.0,21.14
0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,563.65,1,66,2662,17,10.0,17,8,614.74,76.8425,1977.19,42.98125,20.5775,9878,4154,888.45,3.0,34.333333333333336,2.6666666666666665,1.0,12.0,3,1,1,0,1.0,1.0,0.0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,45.65,1,73,2600,11,11.909090909090908,10,1,49.3,49.3,326.74,24.15,35.4,1448,662,0.0,2.0,36.5,3.0,3.0,5.5,2,0,0,0,3.0,3.0,118.26
1,0,0,1,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,655.5,1,94,2786,33,11.87878787878788,27,7,741.9499999999999,105.99285714285712,3898.55,450.13571428571424,155.04285714285714,9206,2928,672.56,3.0,27.0,3.6666666666666665,2.0,14.5,3,1,1,0,2.0,0.0,509.5
0,0,1,1,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1592.35,1,86,5719,33,12.030303030303031,30,20,1812.76,90.638,12044.53,329.579,150.4905,32699,8366,0.0,3.0,41.0,2.5,1.0,3.0,3,2,0,0,2.0,2.0,49.44
0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,273,1,75,4287,11,10.909090909090908,11,4,316.93,79.2325,1943.45,412.1275,185.76,3988,1999,0.0,3.0,49.333333333333336,2.5,1.0,1.0,2,0,0,0,1.0,0.0,100.0
1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2651.2,1,100,5444,34,10.647058823529411,31,58,2930.2,50.52068965517241,12501.79,54.01948275862069,25.514482758620687,0,0,7248.59,2.0,37.5,3.5,3.0,3.5,2,2,0,0,1.0,0.0,0.0
0,0,1,1,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,242.8,1,83,4690,13,10.153846153846152,9,2,241.16,120.58,1274.04,511.78,209.885,2968,997,346.20000000000005,3.0,47.0,3.0,2.0,4.0,4,3,2,0,3.0,2.0,20.88
0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,5000.2,1,80,4328,48,11.1875,43,53,5547.7,104.67358490566038,28340.75,375.9894339622641,154.15264150943398,69130,23287,7523.57,5.0,51.0,2.5,1.0,0.0,5,3,0,0,2.0,0.0,9.48
0,1,0,1,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,1145.7,1,99,5717,15,9.933333333333334,11,15,1217.22,81.148,7118.72,389.23333333333335,150.31066666666666,15857,5571,0.0,3.0,40.333333333333336,1.0,2.0,12.0,3,3,1,1,1.0,0.0,500.0
0,1,0,1,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,503.6,1,81,4419,22,11.863636363636363,16,7,577.96,82.5657142857143,3501.07,388.9542857142857,131.00142857142856,9387,2533,0.0,5.0,51.2,3.6,1.0,0.0,3,1,0,0,3.0,3.0,15.3
0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,29.95,1,95,4534,6,10.333333333333334,5,1,30.85,30.85,135.32,62.67,16.29,0,0,0.0,3.0,48.333333333333336,3.5,2.0,7.5,2,1,0,0,3.0,0.0,0.0
1,0,0,1,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,662.65,1,86,2152,23,10.434782608695652,19,8,734.31,91.78875,4415.35,372.2025,147.925,12796,3874,876.28,5.0,45.8,2.6,3.0,6.0,5,1,1,0,2.0,2.0,100.0
0,0,0,1,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,1111.65,1,73,5142,18,8.444444444444445,16,13,1128.47,86.80538461538461,6781.07,354.8146153846154,176.18,14813,5871,0.0,5.0,38.6,1.5,1.0,15.0,2,2,1,0,2.0,1.0,500.0
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,24.8,1,94,4851,25,12.28,21,1,26.78,26.78,335.61,45.76,30.19,0,0,0.0,4.0,31.0,2.5,3.0,10.666666666666666,4,2,1,0,1.0,0.0,500.0
1,0,1,1,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,531,1,94,2283,21,11.428571428571429,19,6,607.88,101.31333333333332,3561.88,321.40166666666664,132.695,7813,3550,612.98,2.0,25.0,2.5,2.0,12.0,3,2,1,0,1.0,0.0,500.0
1,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,79.9,1,98,3394,18,13.444444444444445,13,1,82.3,82.3,390.09,397.75,145.78,1442,89,155.73,4.0,34.75,2.6666666666666665,3.0,14.0,4,1,1,0,2.0,1.0,0.0
0,0,0,1,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1934.45,1,71,3764,31,11.161290322580646,25,19,2219.45,116.81315789473685,8860.42,401.48894736842107,143.27315789473684,21387,9236,2859.31,2.0,62.5,2.5,1.0,0.0,2,1,1,0,2.0,2.0,510.66
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,84.5,1,76,2667,23,13.26086956521739,17,2,97.06,48.53,483.18,66.44999999999999,32.99,2362,660,0.0,2.0,45.0,4.0,3.0,15.0,3,1,0,0,3.0,2.0,4.6
0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,268.35,1,67,2227,11,10.818181818181818,11,4,303.07,75.7675,1985.59,294.0775,133.09,6419,1677,0.0,5.0,40.4,2.4,2.0,7.5,2,0,0,0,3.0,2.0,121.05
1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,179.35,1,82,3394,7,12.428571428571429,6,4,218.72,54.68,841.23,43.62,23.5925,5458,1668,0.0,4.0,71.75,2.6666666666666665,3.0,11.5,4,2,1,1,1.0,0.0,0.0
0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,55.2,1,81,3638,25,9.4,22,1,62.38,62.38,300.4,41.27,28.79,185,83,139.1,4.0,54.0,2.5,2.0,7.0,5,1,1,0,1.0,0.0,11.04
1,0,0,1,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6,84.6,1,66,2484,5,15.2,5,1,91.37,91.37,798.55,569.36,166.96,2284,252,129.82,3.0,36.66666666666666,2.5,2.0,4.0,2,1,1,0,1.0,1.0,0.0
1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,114.1,1,81,2556,7,12.428571428571429,6,2,117.5,58.75,384.74,55.985,21.67,2594,182,0.0,3.0,53.333333333333336,2.333333333333333,1.0,0.0,2,1,0,0,3.0,1.0,0.0
0,1,0,1,11,1,0,1,0,2,0,0,2,2,0,1,2,95.0,1120.3,1,85,5980,35,11.657142857142857,31,11,1128.6,102.6,6479.22,407.3654545454546,131.79,6240,4602,1626.48,3.0,42.333333333333336,2.333333333333333,2.0,9.0,4,0,0,0,1.0,0.0,0.0
1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,1074.3,1,86,4616,23,11.391304347826088,19,15,1242.45,82.83,8791.97,385.68266666666665,155.97066666666666,23596,6381,0.0,3.0,42.66666666666666,2.0,1.0,3.0,3,1,0,0,3.0,1.0,122.32
1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,48.55,48.55,1,77,5687,21,9.904761904761903,17,1,57.29,57.29,193.94,48.01,27.74,1776,572,0.0,5.0,69.6,2.0,1.0,3.0,3,3,2,0,2.0,1.0,500.0
0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,147.15,1,75,5687,5,12.4,4,2,166.14,83.07,1217.72,241.025,183.235,3608,682,0.0,2.0,40.5,3.0,2.0,0.0,4,0,0,0,2.0,0.0,600.0
1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,40.2,1,65,5828,22,11.681818181818182,16,1,43.42,43.42,343.36,78.59,38.79,0,0,241.26,2.0,36.5,2.0,1.0,2.0,3,0,0,0,3.0,1.0,608.04
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6,80.55,1,99,4884,25,11.28,18,2,96.34,48.17,468.1,49.745000000000005,29.14,2947,651,0.0,2.0,39.5,2.5,3.0,4.333333333333333,2,1,0,0,1.0,0.0,13.38
1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15,132.2,1,96,2314,6,9.166666666666666,5,3,135.39,45.13,578.56,43.14333333333334,17.116666666666667,0,0,228.42,2.0,34.5,2.0,2.0,12.0,2,1,0,0,1.0,0.0,0.0
1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9,1364.3,1,84,2494,51,11.627450980392156,47,13,1538.26,118.3276923076923,6715.23,329.56615384615384,171.74692307692308,16397,5001,1935.03,3.0,43.0,2.333333333333333,2.0,0.0,4,2,2,0,2.0,1.0,0.0
1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,1099.6,1,83,5084,53,9.9811320754717,48,59,1266.61,21.467966101694916,0.0,0.0,0.0,72776,23561,0.0,3.0,54.0,3.0,3.0,6.5,3,2,1,0,2.0,1.0,9.68
0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,1511.2,1,81,3810,41,11.341463414634148,35,16,1688.74,105.54625,8048.22,323.029375,148.831875,21866,6957,2137.0,5.0,60.8,2.75,2.0,9.0,3,2,2,1,2.0,2.0,0.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8,24.8,1,73,5087,14,10.214285714285714,12,1,26.78,26.78,293.85,26.02,39.54,0,0,0.0,2.0,32.5,2.5,2.0,14.0,2,1,0,0,2.0,1.0,500.0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.6,70.6,1,69,3338,24,10.958333333333334,22,1,72.72,72.72,640.28,450.46,100.24,1953,297,0.0,5.0,32.2,2.8,1.0,13.0,2,0,0,0,1.0,1.0,100.0
1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,85.4,401.1,1,80,3676,12,14.166666666666666,10,5,461.15,92.23,2213.74,440.49,179.962,5110,2229,0.0,4.0,61.75,2.25,3.0,8.0,3,0,0,0,3.0,0.0,17.08
0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,105.05,5624.85,1,65,4839,39,9.692307692307692,34,52,6036.18,116.08038461538462,29160.84,353.5342307692308,163.17519230769233,70342,19492,7000.77,5.0,34.4,2.333333333333333,2.0,3.5,4,2,1,0,2.0,2.0,21.01
1,0,1,0,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,1779.95,1,68,4643,42,9.833333333333334,37,18,1902.09,105.67166666666668,10350.43,373.6716666666667,148.355,29653,7739,2678.02,3.0,40.0,2.6666666666666665,1.0,4.0,3,1,1,0,2.0,1.0,128.55
1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.0,70,1,97,4094,21,12.047619047619047,17,1,82.6,82.6,543.76,288.04,104.13,1317,275,0.0,4.0,33.75,2.333333333333333,3.0,10.0,5,4,1,1,1.0,0.0,0.0
1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,74.5,606.55,1,80,4345,12,13.083333333333334,12,8,651.11,81.38875,4634.610000000001,333.92375,143.80125,5955,3086,0.0,3.0,51.0,2.0,2.0,9.0,3,1,1,0,1.0,1.0,22.35
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,435.4,1,83,4061,24,11.375,21,10,497.79,49.779,2068.55,48.152,22.516,9919,2970,0.0,2.0,26.0,3.0,1.0,0.0,4,2,0,0,1.0,1.0,13.46
1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,76.1,1712.7,1,98,2018,40,11.75,35,24,2014.4,83.93333333333332,12550.91,313.37833333333333,130.34041666666667,29610,11424,0.0,2.0,23.5,3.0,2.0,11.0,5,1,1,0,3.0,1.0,15.22
0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,3,73.6,73.6,1,80,2565,21,10.285714285714286,19,1,79.49,79.49,278.96,333.9,135.18,630,700,0.0,2.0,42.5,0.0,2.0,8.0,4,1,0,0,1.0,1.0,14.72
