complaint_id,customer_id,complaint_date,complaint_type,severity,department,status,resolution_days,customer_satisfaction
CMP000001,3668-QPYBK,2022-01-13,Wrong Charges,High,Technical,Open,,
CMP000002,3668-QPYBK,2021-07-21,Billing Complaint,Medium,Billing,Open,,
CMP000003,3668-QPYBK,2024-10-20,Low Download Speed,High,Technical,Open,,
CMP000004,9237-HQITU,2020-02-18,Call Drop,High,Billing,Resolved,11.0,3.0
CMP000005,9237-HQITU,2025-08-21,Streaming Issue,High,Sales,Open,,
CMP000006,9237-HQITU,2022-11-22,Poor Network,Low,Sales,Resolved,1.0,2.0
CMP000007,9305-CDSKC,2020-08-28,Poor Customer Support,Medium,Billing,Resolved,8.0,3.0
CMP000008,9305-CDSKC,2024-08-15,Low Download Speed,High,Technical,In Progress,,
CMP000009,7892-POOKP,2022-09-18,Frequent Disconnections,Low,Customer Care,In Progress,,
CMP000010,7892-POOKP,2023-06-07,Call Drop,Medium,Network,Resolved,2.0,2.0
CMP000011,0280-XJGEX,2021-08-09,Wrong Charges,High,Customer Care,Open,,
CMP000012,0280-XJGEX,2024-08-25,Slow Internet,Medium,Network,In Progress,,
CMP000013,0280-XJGEX,2025-08-01,Streaming Issue,Medium,Customer Care,Resolved,15.0,2.0
CMP000014,4190-MFLUW,2024-09-24,Slow Internet,Medium,Network,Resolved,13.0,3.0
CMP000015,8779-QRDMV,2022-01-22,Payment Issue,Low,Network,Resolved,11.0,3.0
CMP000016,8779-QRDMV,2022-07-14,Low Download Speed,High,Billing,Resolved,4.0,1.0
CMP000017,8779-QRDMV,2024-03-03,Call Drop,High,Network,Open,,
CMP000018,1066-JKSGK,2022-11-09,Billing Complaint,Medium,Network,In Progress,,
CMP000019,6467-CHFZW,2021-01-03,Frequent Disconnections,High,Sales,Open,,
CMP000020,6467-CHFZW,2022-10-22,Billing Complaint,Low,Billing,Closed,9.0,3.0
CMP000021,6467-CHFZW,2022-07-13,Wrong Charges,Medium,Sales,Open,,
CMP000022,8665-UTDHZ,2020-09-19,Streaming Issue,High,Technical,In Progress,,
CMP000023,8773-HHUOZ,2023-11-01,Poor Customer Support,Low,Customer Care,Resolved,12.0,1.0
CMP000024,6047-YHPVI,2020-07-25,Call Drop,Low,Sales,Resolved,14.0,3.0
CMP000025,6047-YHPVI,2020-01-14,Service Outage,Medium,Sales,Closed,12.0,3.0
CMP000026,6047-YHPVI,2025-11-23,Billing Complaint,Medium,Billing,Resolved,6.0,2.0
CMP000027,5380-WJKOV,2025-12-07,Call Drop,Medium,Network,Resolved,12.0,1.0
CMP000028,8168-UQWWF,2021-04-04,Wrong Charges,Medium,Customer Care,In Progress,,
CMP000029,8168-UQWWF,2023-01-12,Wrong Charges,High,Network,Resolved,9.0,1.0
CMP000030,7760-OYPDY,2023-05-02,Billing Complaint,Medium,Network,In Progress,,
CMP000031,7760-OYPDY,2020-02-12,Poor Network,Low,Network,Resolved,7.0,2.0
CMP000032,9420-LOJKX,2021-10-05,Call Drop,High,Sales,Open,,
CMP000033,9420-LOJKX,2023-11-05,Poor Network,High,Network,Open,,
CMP000034,9420-LOJKX,2024-11-11,Slow Internet,Medium,Customer Care,Resolved,3.0,3.0
CMP000035,7495-OOKFY,2021-02-03,Wrong Charges,Medium,Billing,Closed,14.0,3.0
CMP000036,7495-OOKFY,2023-01-15,Installation Delay,Medium,Network,Closed,13.0,2.0
CMP000037,1658-BYGOY,2025-02-22,Installation Delay,High,Customer Care,Resolved,9.0,2.0
CMP000038,1658-BYGOY,2025-01-14,Streaming Issue,Medium,Billing,Closed,3.0,1.0
CMP000039,5698-BQJOH,2025-11-26,Wrong Charges,High,Billing,Resolved,6.0,3.0
CMP000040,5698-BQJOH,2024-02-07,Frequent Disconnections,Medium,Network,In Progress,,
CMP000041,5919-TMRGD,2020-07-09,Slow Internet,High,Technical,Closed,6.0,3.0
CMP000042,9191-MYQKX,2023-08-15,Service Outage,Low,Customer Care,Closed,14.0,1.0
CMP000043,9191-MYQKX,2025-01-18,Service Outage,High,Network,Closed,9.0,2.0
CMP000044,8637-XJIVR,2025-05-03,Call Drop,Medium,Technical,Open,,
CMP000045,0278-YXOOG,2022-11-24,Customer Support,Low,Network,Resolved,10.0,3.0
CMP000046,0278-YXOOG,2022-03-11,Customer Support,Medium,Technical,Resolved,6.0,3.0
CMP000047,4598-XLKNJ,2020-05-21,Payment Issue,High,Billing,In Progress,,
CMP000048,3192-NQECA,2023-10-24,Poor Network,Low,Technical,Closed,7.0,3.0
CMP000049,3192-NQECA,2025-08-13,Frequent Disconnections,High,Network,Resolved,6.0,2.0
CMP000050,3192-NQECA,2024-07-24,Wrong Charges,Medium,Sales,Resolved,10.0,1.0
CMP000051,0486-HECZI,2021-09-03,Poor Customer Support,High,Network,Resolved,2.0,3.0
CMP000052,0486-HECZI,2020-09-27,Service Outage,Medium,Technical,Resolved,14.0,3.0
CMP000053,4846-WHAFZ,2022-09-15,Streaming Issue,Low,Billing,Open,,
CMP000054,5299-RULOA,2022-12-04,Frequent Disconnections,Medium,Network,Closed,14.0,2.0
CMP000055,5299-RULOA,2022-08-22,Streaming Issue,High,Sales,Open,,
CMP000056,5299-RULOA,2024-10-05,Streaming Issue,High,Network,Closed,14.0,3.0
CMP000057,0404-SWRVG,2022-04-11,Payment Issue,Medium,Billing,Closed,15.0,2.0
CMP000058,0404-SWRVG,2024-07-26,Service Outage,Low,Sales,Resolved,3.0,2.0
CMP000059,4412-YLTKF,2022-01-21,Installation Delay,Medium,Sales,Resolved,13.0,2.0
CMP000060,4412-YLTKF,2024-06-23,Poor Network,High,Network,Resolved,3.0,1.0
CMP000061,6207-WIOLX,2024-10-21,Streaming Issue,High,Sales,Closed,10.0,3.0
CMP000062,3091-FYHKI,2024-11-05,Installation Delay,Medium,Network,Resolved,14.0,1.0
CMP000063,3091-FYHKI,2022-10-11,Billing Complaint,High,Billing,Resolved,11.0,2.0
CMP000064,2372-HWUHI,2024-04-01,Poor Network,High,Network,Closed,7.0,2.0
CMP000065,2372-HWUHI,2024-01-12,Service Outage,High,Technical,Open,,
