campaign_id,customer_id,campaign_date,campaign_type,email_subject,email_status,opened,clicked,conversion,offer_type
CMP000001,3668-QPYBK,2025-09-15,Retention,We Miss You!,Delivered,Yes,Yes,No,Premium Streaming
CMP000002,3668-QPYBK,2024-08-06,Promotional,Limited Time Discount,Delivered,No,No,No,Extra Data
CMP000003,3668-QPYBK,2020-01-13,Loyalty,Save More On Your Next Bill,Delivered,Yes,No,No,10% Discount
CMP000004,9237-HQITU,2025-02-07,Upgrade,Free Data Waiting For You,Delivered,Yes,No,No,10% Discount
CMP000005,9237-HQITU,2023-07-03,Loyalty,Thank You For Being With Us,Delivered,Yes,No,No,Extra Data
CMP000006,9237-HQITU,2020-02-15,Retention,Limited Time Discount,Delivered,Yes,No,No,Free Upgrade
CMP000007,9237-HQITU,2023-05-03,Win-Back,Upgrade Your Plan Today,Spam,No,No,No,20% Discount
CMP000008,9305-CDSKC,2022-08-19,Upgrade,Special Loyalty Reward,Delivered,No,No,No,No Offer
CMP000009,9305-CDSKC,2024-09-19,Loyalty,Exclusive Offer Just For You,Delivered,No,No,No,20% Discount
CMP000010,9305-CDSKC,2020-03-27,Win-Back,Upgrade Your Plan Today,Delivered,No,No,No,Cashback
CMP000011,7892-POOKP,2025-08-15,Promotional,Special Loyalty Reward,Delivered,Yes,No,No,Premium Streaming
CMP000012,7892-POOKP,2020-09-21,Upgrade,Free Data Waiting For You,Delivered,Yes,No,No,20% Discount
CMP000013,7892-POOKP,2022-07-25,Retention,Special Loyalty Reward,Delivered,Yes,No,No,No Offer
CMP000014,0280-XJGEX,2022-10-25,Discount,Upgrade Your Plan Today,Delivered,No,No,No,20% Discount
CMP000015,0280-XJGEX,2023-03-03,Loyalty,We Miss You!,Bounced,No,No,No,Free Upgrade
CMP000016,0280-XJGEX,2022-09-26,Retention,Exclusive Offer Just For You,Delivered,Yes,No,No,Free Upgrade
CMP000017,0280-XJGEX,2020-05-11,Retention,Exclusive Offer Just For You,Delivered,Yes,No,No,Premium Streaming
CMP000018,4190-MFLUW,2020-03-23,Loyalty,Upgrade Your Plan Today,Delivered,Yes,Yes,No,Free Installation
CMP000019,4190-MFLUW,2020-09-01,Win-Back,Free Data Waiting For You,Delivered,No,No,No,10% Discount
CMP000020,4190-MFLUW,2022-07-21,Win-Back,Free Data Waiting For You,Delivered,No,No,No,No Offer
CMP000021,4190-MFLUW,2023-11-25,Discount,Thank You For Being With Us,Delivered,No,No,No,Cashback
CMP000022,8779-QRDMV,2024-11-27,Upgrade,Limited Time Discount,Delivered,Yes,Yes,No,Premium Streaming
CMP000023,8779-QRDMV,2020-05-08,Win-Back,Special Loyalty Reward,Delivered,Yes,No,No,Free Upgrade
CMP000024,8779-QRDMV,2021-09-01,Retention,We Miss You!,Delivered,Yes,No,No,Premium Streaming
CMP000025,8779-QRDMV,2023-08-13,Loyalty,Exclusive Offer Just For You,Delivered,No,No,No,Cashback
CMP000026,8779-QRDMV,2020-10-27,Discount,Save More On Your Next Bill,Delivered,Yes,Yes,No,Loyalty Reward
CMP000027,1066-JKSGK,2021-05-08,Promotional,We Miss You!,Delivered,No,No,No,Free Installation
CMP000028,1066-JKSGK,2023-06-24,Discount,Save More On Your Next Bill,Delivered,No,No,No,Free Upgrade
CMP000029,1066-JKSGK,2024-06-04,Retention,Upgrade Your Plan Today,Delivered,Yes,Yes,Yes,Premium Streaming
CMP000030,6467-CHFZW,2021-05-22,Upgrade,Upgrade Your Plan Today,Delivered,No,No,No,10% Discount
CMP000031,6467-CHFZW,2020-06-07,Upgrade,Thank You For Being With Us,Delivered,Yes,No,No,Premium Streaming
CMP000032,8665-UTDHZ,2025-01-07,Upgrade,Free Data Waiting For You,Delivered,No,No,No,Extra Data
CMP000033,8665-UTDHZ,2021-11-10,Promotional,Thank You For Being With Us,Delivered,Yes,No,No,10% Discount
CMP000034,8665-UTDHZ,2022-10-19,Promotional,Save More On Your Next Bill,Delivered,No,No,No,Cashback
CMP000035,8665-UTDHZ,2021-05-05,Win-Back,Exclusive Offer Just For You,Delivered,Yes,Yes,No,Premium Streaming
CMP000036,8665-UTDHZ,2022-06-16,Retention,Exclusive Offer Just For You,Spam,No,No,No,Loyalty Reward
CMP000037,8773-HHUOZ,2020-05-10,Promotional,Limited Time Discount,Delivered,No,No,No,Extra Data
CMP000038,8773-HHUOZ,2022-11-14,Retention,Exclusive Offer Just For You,Delivered,No,No,No,10% Discount
CMP000039,8773-HHUOZ,2022-06-25,Promotional,Upgrade Your Plan Today,Delivered,No,No,No,Free Installation
CMP000040,8773-HHUOZ,2020-01-13,Win-Back,We Miss You!,Delivered,Yes,No,No,20% Discount
CMP000041,8773-HHUOZ,2024-06-04,Discount,Save More On Your Next Bill,Delivered,Yes,Yes,No,Loyalty Reward
CMP000042,6047-YHPVI,2020-07-04,Promotional,Special Loyalty Reward,Delivered,Yes,No,No,20% Discount
CMP000043,6047-YHPVI,2021-01-02,Win-Back,We Miss You!,Delivered,No,No,No,Free Upgrade
CMP000044,5380-WJKOV,2023-05-24,Discount,Free Data Waiting For You,Delivered,Yes,No,No,Extra Data
CMP000045,5380-WJKOV,2025-05-16,Win-Back,Thank You For Being With Us,Spam,No,No,No,Free Installation
CMP000046,5380-WJKOV,2022-02-02,Win-Back,We Miss You!,Delivered,Yes,Yes,Yes,Loyalty Reward
CMP000047,5380-WJKOV,2021-03-12,Win-Back,Special Loyalty Reward,Delivered,No,No,No,Premium Streaming
CMP000048,5380-WJKOV,2024-08-27,Upgrade,Limited Time Discount,Delivered,Yes,Yes,No,20% Discount
CMP000049,8168-UQWWF,2023-03-26,Promotional,Limited Time Discount,Delivered,Yes,No,No,Extra Data
CMP000050,8168-UQWWF,2024-02-20,Loyalty,Special Loyalty Reward,Delivered,Yes,No,No,No Offer
CMP000051,8168-UQWWF,2023-07-04,Loyalty,Upgrade Your Plan Today,Delivered,Yes,Yes,Yes,No Offer
CMP000052,7760-OYPDY,2025-11-12,Upgrade,Special Loyalty Reward,Delivered,No,No,No,20% Discount
CMP000053,7760-OYPDY,2025-11-09,Loyalty,Free Data Waiting For You,Delivered,No,No,No,Extra Data
CMP000054,9420-LOJKX,2022-12-27,Promotional,We Miss You!,Delivered,No,No,No,Free Upgrade
CMP000055,9420-LOJKX,2025-08-02,Promotional,We Miss You!,Delivered,Yes,No,No,Cashback
CMP000056,9420-LOJKX,2023-01-22,Discount,We Miss You!,Delivered,No,No,No,No Offer
CMP000057,9420-LOJKX,2023-10-07,Retention,Special Loyalty Reward,Delivered,No,No,No,Cashback
CMP000058,7495-OOKFY,2023-06-10,Upgrade,We Miss You!,Delivered,No,No,No,20% Discount
CMP000059,7495-OOKFY,2022-02-25,Loyalty,We Miss You!,Delivered,No,No,No,Extra Data
CMP000060,1658-BYGOY,2025-04-11,Retention,We Miss You!,Spam,No,No,No,Cashback
CMP000061,1658-BYGOY,2022-01-22,Retention,Thank You For Being With Us,Delivered,No,No,No,Free Installation
CMP000062,1658-BYGOY,2024-01-15,Retention,We Miss You!,Delivered,No,No,No,No Offer
CMP000063,1658-BYGOY,2021-04-07,Upgrade,Thank You For Being With Us,Delivered,No,No,No,Extra Data
CMP000064,5698-BQJOH,2021-07-08,Retention,Special Loyalty Reward,Delivered,No,No,No,No Offer
CMP000065,5698-BQJOH,2021-12-10,Discount,Exclusive Offer Just For You,Delivered,Yes,Yes,No,Loyalty Reward
CMP000066,5919-TMRGD,2023-11-17,Loyalty,Limited Time Discount,Delivered,No,No,No,Free Upgrade
CMP000067,5919-TMRGD,2022-07-24,Loyalty,Exclusive Offer Just For You,Delivered,No,No,No,Premium Streaming
CMP000068,5919-TMRGD,2023-02-01,Loyalty,Upgrade Your Plan Today,Delivered,Yes,Yes,Yes,Free Installation
CMP000069,5919-TMRGD,2020-04-12,Upgrade,We Miss You!,Delivered,No,No,No,Loyalty Reward
CMP000070,5919-TMRGD,2024-12-01,Win-Back,Save More On Your Next Bill,Delivered,No,No,No,No Offer
CMP000071,9191-MYQKX,2020-02-18,Discount,Thank You For Being With Us,Delivered,No,No,No,Extra Data
CMP000072,9191-MYQKX,2024-02-09,Promotional,Special Loyalty Reward,Delivered,No,No,No,Loyalty Reward
CMP000073,9191-MYQKX,2025-02-22,Win-Back,Thank You For Being With Us,Delivered,No,No,No,20% Discount
CMP000074,8637-XJIVR,2023-03-24,Retention,Save More On Your Next Bill,Delivered,Yes,No,No,10% Discount
CMP000075,8637-XJIVR,2025-07-19,Promotional,Upgrade Your Plan Today,Delivered,No,No,No,10% Discount
CMP000076,8637-XJIVR,2020-02-01,Retention,Free Data Waiting For You,Delivered,Yes,No,No,Cashback
CMP000077,8637-XJIVR,2021-04-06,Retention,We Miss You!,Delivered,No,No,No,Extra Data
CMP000078,8637-XJIVR,2020-05-02,Upgrade,Limited Time Discount,Delivered,Yes,No,No,Extra Data
CMP000079,0278-YXOOG,2020-05-04,Promotional,Free Data Waiting For You,Delivered,Yes,No,No,Cashback
CMP000080,0278-YXOOG,2021-10-28,Retention,Save More On Your Next Bill,Delivered,No,No,No,Premium Streaming
CMP000081,0278-YXOOG,2022-01-03,Loyalty,Special Loyalty Reward,Delivered,Yes,No,No,Premium Streaming
CMP000082,4598-XLKNJ,2021-10-24,Retention,Exclusive Offer Just For You,Delivered,Yes,Yes,No,Extra Data
CMP000083,4598-XLKNJ,2025-04-20,Loyalty,We Miss You!,Delivered,No,No,No,Extra Data
CMP000084,3192-NQECA,2024-12-06,Upgrade,Thank You For Being With Us,Delivered,No,No,No,Extra Data
CMP000085,3192-NQECA,2022-09-04,Discount,We Miss You!,Delivered,Yes,Yes,No,No Offer
CMP000086,3192-NQECA,2021-01-04,Win-Back,We Miss You!,Delivered,No,No,No,Premium Streaming
CMP000087,0486-HECZI,2022-11-12,Loyalty,Limited Time Discount,Delivered,Yes,No,No,Premium Streaming
CMP000088,0486-HECZI,2024-04-04,Discount,Limited Time Discount,Delivered,Yes,No,No,Free Installation
CMP000089,4846-WHAFZ,2025-10-14,Win-Back,Thank You For Being With Us,Delivered,No,No,No,Extra Data
CMP000090,4846-WHAFZ,2021-04-14,Loyalty,Special Loyalty Reward,Delivered,No,No,No,Extra Data
CMP000091,5299-RULOA,2024-05-10,Upgrade,Special Loyalty Reward,Delivered,Yes,No,No,Cashback
CMP000092,5299-RULOA,2025-04-09,Loyalty,Save More On Your Next Bill,Delivered,Yes,No,No,Premium Streaming
CMP000093,0404-SWRVG,2022-05-01,Win-Back,Free Data Waiting For You,Delivered,Yes,No,No,Loyalty Reward
CMP000094,0404-SWRVG,2020-03-08,Retention,Save More On Your Next Bill,Delivered,No,No,No,No Offer
CMP000095,0404-SWRVG,2021-10-20,Promotional,We Miss You!,Delivered,No,No,No,Free Installation
CMP000096,0404-SWRVG,2020-02-04,Upgrade,Upgrade Your Plan Today,Delivered,No,No,No,Free Installation
CMP000097,0404-SWRVG,2020-07-15,Discount,Upgrade Your Plan Today,Delivered,Yes,Yes,Yes,20% Discount
CMP000098,4412-YLTKF,2025-03-21,Discount,Thank You For Being With Us,Delivered,No,No,No,Free Installation
CMP000099,4412-YLTKF,2022-06-20,Upgrade,We Miss You!,Delivered,No,No,No,Cashback
CMP000100,6207-WIOLX,2021-01-19,Promotional,Limited Time Discount,Delivered,No,No,No,Free Installation
CMP000101,6207-WIOLX,2023-06-04,Upgrade,Limited Time Discount,Delivered,No,No,No,No Offer
CMP000102,3091-FYHKI,2021-05-10,Discount,Exclusive Offer Just For You,Delivered,No,No,No,Premium Streaming
CMP000103,3091-FYHKI,2024-12-20,Promotional,Upgrade Your Plan Today,Delivered,No,No,No,10% Discount
CMP000104,3091-FYHKI,2025-10-23,Loyalty,Exclusive Offer Just For You,Delivered,Yes,No,No,Loyalty Reward
CMP000105,3091-FYHKI,2020-04-19,Discount,We Miss You!,Bounced,No,No,No,Cashback
CMP000106,2372-HWUHI,2022-05-04,Retention,Limited Time Discount,Delivered,No,No,No,Extra Data
CMP000107,2372-HWUHI,2020-04-09,Discount,Exclusive Offer Just For You,Delivered,Yes,No,No,Extra Data
CMP000108,0390-DCFDQ,2023-06-14,Retention,Exclusive Offer Just For You,Delivered,No,No,No,20% Discount
CMP000109,0390-DCFDQ,2025-05-15,Discount,Exclusive Offer Just For You,Delivered,Yes,No,No,No Offer
CMP000110,4080-OGPJL,2020-11-26,Retention,Upgrade Your Plan Today,Delivered,Yes,Yes,No,Cashback
CMP000111,4080-OGPJL,2024-06-05,Discount,Thank You For Being With Us,Delivered,No,No,No,Cashback
CMP000112,4080-OGPJL,2023-03-28,Loyalty,Upgrade Your Plan Today,Delivered,No,No,No,No Offer
CMP000113,2135-RXIHG,2020-08-23,Promotional,We Miss You!,Delivered,No,No,No,10% Discount
CMP000114,2135-RXIHG,2023-05-02,Upgrade,Upgrade Your Plan Today,Delivered,No,No,No,10% Discount
CMP000115,3874-EQOEP,2024-02-28,Loyalty,Exclusive Offer Just For You,Delivered,Yes,Yes,No,10% Discount
CMP000116,3874-EQOEP,2023-04-17,Retention,Thank You For Being With Us,Delivered,No,No,No,Loyalty Reward
CMP000117,3874-EQOEP,2023-04-23,Discount,Save More On Your Next Bill,Delivered,No,No,No,10% Discount
CMP000118,0867-MKZVY,2024-12-05,Win-Back,Upgrade Your Plan Today,Delivered,Yes,No,No,Free Installation
CMP000119,0867-MKZVY,2025-06-20,Win-Back,Upgrade Your Plan Today,Delivered,Yes,No,No,Cashback
CMP000120,0867-MKZVY,2022-10-10,Promotional,Thank You For Being With Us,Delivered,No,No,No,20% Discount
CMP000121,3376-BMGFE,2023-11-21,Retention,Limited Time Discount,Delivered,No,No,No,Free Installation
CMP000122,3376-BMGFE,2024-01-18,Upgrade,We Miss You!,Spam,No,No,No,Cashback
CMP000123,3445-HXXGF,2022-05-28,Retention,Save More On Your Next Bill,Delivered,Yes,No,No,Free Installation
CMP000124,3445-HXXGF,2022-12-12,Upgrade,Limited Time Discount,Delivered,Yes,No,No,Cashback
CMP000125,1875-QIVME,2023-01-24,Retention,Special Loyalty Reward,Delivered,Yes,Yes,No,20% Discount
CMP000126,1875-QIVME,2021-12-28,Win-Back,Upgrade Your Plan Today,Delivered,Yes,Yes,No,Free Installation
CMP000127,1875-QIVME,2020-01-18,Retention,Upgrade Your Plan Today,Delivered,Yes,No,No,Loyalty Reward
CMP000128,1875-QIVME,2022-09-27,Retention,Thank You For Being With Us,Delivered,No,No,No,Cashback
CMP000129,0691-JVSYA,2020-07-08,Discount,We Miss You!,Delivered,Yes,No,No,Premium Streaming
CMP000130,0691-JVSYA,2022-09-08,Loyalty,Thank You For Being With Us,Delivered,No,No,No,10% Discount
