CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,total_logins,avg_session_minutes,successful_logins,total_transactions,total_amount,avg_transaction,total_internet_usage,avg_download_speed,avg_upload_speed,total_call_minutes,total_sms,total_streaming_hours,support_ticket_count,avg_resolution_time,avg_customer_rating,complaint_count,avg_resolution_days,total_campaigns,emails_opened,emails_clicked,conversions,total_offers,offers_accepted,total_offer_value
3668-QPYBK,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,86,3239,Competitor made better offer,13,10.692307692307692,10,2,110.92,55.46,509.6,31.75,38.715,3116,670,0.0,2.0,31.5,1.5,3.0,0.0,3,2,1,0,3.0,2.0,1000.0
9237-HQITU,1,United States,California,Los Angeles,90005,"34.059281, -118.30742",34.059281,-118.30742,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,67,2701,Moved,12,12.166666666666666,12,2,156.25,78.125,888.1700000000001,243.36,99.76,2243,770,0.0,4.0,44.25,2.75,3.0,6.0,4,3,0,0,3.0,1.0,100.0
9305-CDSKC,1,United States,California,Los Angeles,90006,"34.048013, -118.293953",34.048013,-118.293953,Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,86,5372,Moved,27,11.481481481481481,22,8,900.87,112.60875,4050.15,390.31125,150.32999999999998,8914,4149,715.75,5.0,43.4,1.8,2.0,8.0,3,0,0,0,3.0,2.0,529.89
7892-POOKP,1,United States,California,Los Angeles,90010,"34.062125, -118.315709",34.062125,-118.315709,Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,84,5003,Moved,39,9.923076923076923,33,28,3284.32,117.29714285714286,15577.2,388.21750000000003,159.93392857142857,39878,9466,4083.83,2.0,35.5,3.5,2.0,2.0,3,3,0,0,2.0,2.0,20.96
0280-XJGEX,1,United States,California,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.266293,Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,89,5340,Competitor had better devices,43,10.883720930232558,39,49,5685.11,116.02265306122449,26380.65,349.7371428571428,155.314693877551,55365,20792,7488.81,3.0,56.0,0.0,3.0,15.0,4,2,0,0,1.0,0.0,0.0
4190-MFLUW,1,United States,California,Los Angeles,90020,"34.066367, -118.309868",34.066367,-118.309868,Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,78,5925,Competitor offered higher download speeds,14,9.714285714285714,11,10,610.0,61.0,2155.54,46.125,21.946,13245,3699,0.0,3.0,33.333333333333336,2.6666666666666665,1.0,13.0,4,1,1,0,1.0,0.0,0.0
8779-QRDMV,1,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,100,5433,Competitor offered more data,24,10.875,22,1,40.84,40.84,309.51,59.58,24.72,0,0,215.46,5.0,33.8,2.75,3.0,7.5,5,4,2,0,1.0,1.0,0.0
1066-JKSGK,1,United States,California,Los Angeles,90024,"34.066303, -118.435479",34.066303,-118.435479,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,92,4832,Competitor made better offer,10,10.7,9,1,23.78,23.78,0.0,0.0,0.0,474,521,0.0,5.0,45.8,2.8,1.0,0.0,3,1,1,1,1.0,1.0,0.0
6467-CHFZW,1,United States,California,Los Angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,77,5789,Competitor had better devices,51,9.588235294117647,43,47,5211.68,110.8868085106383,24935.78,352.30765957446806,153.29106382978725,52349,19788,6477.6,5.0,61.4,2.0,3.0,9.0,2,1,0,0,2.0,1.0,100.0
8665-UTDHZ,1,United States,California,Los Angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,97,2915,Competitor had better devices,25,11.04,17,1,31.11,31.11,330.13,38.13,20.76,0,0,0.0,2.0,57.5,3.0,1.0,0.0,5,2,1,0,3.0,1.0,9.06
