offer_id,customer_id,offer_date,offer_type,offer_value,accepted,response_date,customer_segment,churn_label
OFF000001,3668-QPYBK,2023-02-22,Premium Support,0.0,Yes,2023-02-28,New,Yes
OFF000002,3668-QPYBK,2024-07-07,Cashback ₹500,500.0,Yes,2024-07-08,New,Yes
OFF000003,3668-QPYBK,2025-09-12,Cashback ₹500,500.0,No,,New,Yes
OFF000004,9237-HQITU,2024-02-06,Free Installation,0.0,No,,New,Yes
OFF000005,9237-HQITU,2023-12-14,Free Upgrade,0.0,Yes,2023-12-16,New,Yes
OFF000006,9237-HQITU,2023-10-07,Extra 100GB Data,100.0,No,,New,Yes
OFF000007,9305-CDSKC,2023-11-28,20% Discount,29.89,Yes,2023-11-28,New,Yes
OFF000008,9305-CDSKC,2025-02-04,Cashback ₹500,500.0,Yes,2025-02-11,New,Yes
OFF000009,9305-CDSKC,2024-01-21,Free Upgrade,0.0,No,,New,Yes
OFF000010,7892-POOKP,2025-09-20,10% Discount,20.96,Yes,2025-09-26,Regular,Yes
OFF000011,7892-POOKP,2024-07-26,Free 3 Months Streaming,0.0,Yes,2024-07-28,Regular,Yes
OFF000012,0280-XJGEX,2023-12-13,Free 3 Months Streaming,0.0,No,,Loyal,Yes
OFF000013,4190-MFLUW,2025-03-14,Loyalty Reward,0.0,No,,New,Yes
OFF000014,8779-QRDMV,2024-11-20,Free Installation,0.0,Yes,2024-11-21,New,Yes
OFF000015,1066-JKSGK,2025-04-20,Premium Support,0.0,Yes,2025-04-27,New,Yes
OFF000016,6467-CHFZW,2025-03-11,Loyalty Reward,0.0,Yes,2025-03-13,Loyal,Yes
OFF000017,6467-CHFZW,2023-12-14,Extra 100GB Data,100.0,No,,Loyal,Yes
OFF000018,8665-UTDHZ,2024-12-09,Premium Support,0.0,No,,New,Yes
OFF000019,8665-UTDHZ,2024-05-08,30% Discount,6.04,Yes,2024-05-13,New,Yes
OFF000020,8665-UTDHZ,2023-09-11,10% Discount,3.02,No,,New,Yes
OFF000021,8773-HHUOZ,2025-02-15,Cashback ₹500,500.0,No,,Regular,Yes
OFF000022,6047-YHPVI,2024-01-25,Cashback ₹500,500.0,No,,New,Yes
OFF000023,6047-YHPVI,2024-04-01,Free 3 Months Streaming,0.0,No,,New,Yes
OFF000024,5380-WJKOV,2024-09-10,Free Upgrade,0.0,No,,Regular,Yes
OFF000025,5380-WJKOV,2023-10-21,Premium Support,0.0,No,,Regular,Yes
OFF000026,5380-WJKOV,2025-08-25,20% Discount,31.9,No,,Regular,Yes
OFF000027,8168-UQWWF,2025-06-15,Extra 100GB Data,100.0,Yes,2025-06-21,New,Yes
OFF000028,8168-UQWWF,2024-01-15,Premium Support,0.0,Yes,2024-01-20,New,Yes
