ticket_id,customer_id,created_date,issue_type,priority,status,resolution_time,agent_name,customer_rating
TKT000001,3668-QPYBK,2020-09-25,TV Streaming Issue,High,Resolved,31,Karan Mehta,1.0
TKT000002,3668-QPYBK,2022-12-22,No Internet,High,Resolved,32,Karan Mehta,2.0
TKT000003,9237-HQITU,2020-03-05,Payment Issue,Low,Resolved,116,Priya Verma,4.0
TKT000004,9237-HQITU,2024-02-08,Movie Streaming Issue,High,Resolved,13,Aman Singh,2.0
TKT000005,9237-HQITU,2022-03-05,No Internet,High,Resolved,25,Arjun Patel,3.0
TKT000006,9237-HQITU,2023-06-09,Phone Service Issue,High,Resolved,23,Simran Kaur,2.0
TKT000007,9305-CDSKC,2025-03-05,Technical Support,High,Resolved,33,Karan Mehta,2.0
TKT000008,9305-CDSKC,2025-06-17,WiFi Connectivity,Medium,Resolved,72,Simran Kaur,3.0
TKT000009,9305-CDSKC,2024-08-26,No Internet,High,Closed,44,Rahul Sharma,1.0
TKT000010,9305-CDSKC,2025-04-05,WiFi Connectivity,High,Resolved,32,Rahul Sharma,2.0
TKT000011,9305-CDSKC,2025-02-26,Billing Issue,Medium,Resolved,36,Aman Singh,1.0
TKT000012,7892-POOKP,2021-03-06,Slow Internet,High,Resolved,24,Karan Mehta,4.0
TKT000013,7892-POOKP,2020-05-22,Movie Streaming Issue,High,Closed,47,Rahul Sharma,3.0
TKT000014,0280-XJGEX,2022-01-28,No Internet,High,Open,46,Rahul Sharma,
TKT000015,0280-XJGEX,2020-03-16,Router Problem,Low,In Progress,55,Rohit Kumar,
TKT000016,0280-XJGEX,2024-01-25,Slow Internet,Medium,Open,67,Priya Verma,
TKT000017,4190-MFLUW,2024-12-01,Slow Internet,High,Resolved,34,Aman Singh,2.0
TKT000018,4190-MFLUW,2022-12-23,Slow Internet,Medium,Resolved,50,Simran Kaur,2.0
TKT000019,4190-MFLUW,2025-08-01,Technical Support,High,Closed,16,Rohit Kumar,4.0
TKT000020,8779-QRDMV,2024-08-25,Account Login,High,Resolved,12,Simran Kaur,3.0
TKT000021,8779-QRDMV,2025-05-03,TV Streaming Issue,High,Resolved,30,Neha Gupta,3.0
TKT000022,8779-QRDMV,2023-03-22,Billing Issue,Medium,Resolved,66,Aman Singh,2.0
TKT000023,8779-QRDMV,2025-03-25,Technical Support,High,Resolved,15,Karan Mehta,3.0
TKT000024,8779-QRDMV,2022-08-17,Technical Support,High,In Progress,46,Priya Verma,
TKT000025,1066-JKSGK,2022-01-24,Payment Issue,High,Resolved,26,Arjun Patel,3.0
