iter	Passed	Remaining
0	158	15685
1	163	8004
2	167	5430
3	172	4138
4	176	3352
5	180	2824
6	184	2447
7	188	2162
8	191	1940
9	195	1762
10	199	1616
11	203	1493
12	207	1389
13	211	1298
14	215	1220
15	219	1151
16	223	1090
17	227	1035
18	231	985
19	235	941
20	239	900
21	243	862
22	247	828
23	251	796
24	255	766
25	259	738
26	263	711
27	267	686
28	270	662
29	274	640
30	278	618
31	281	598
32	285	580
33	289	561
34	292	543
35	296	526
36	299	510
37	303	495
38	307	480
39	310	466
40	314	452
41	318	439
42	321	426
43	325	414
44	329	402
45	333	391
46	336	379
47	340	368
48	344	358
49	347	347
50	351	337
51	355	327
52	358	318
53	362	308
54	365	299
55	369	290
56	373	281
57	376	272
58	380	264
59	383	255
60	387	247
61	392	240
62	396	232
63	400	225
64	404	217
65	408	210
66	413	203
67	418	197
68	423	190
69	427	183
70	431	176
71	436	169
72	440	163
73	446	156
74	450	150
75	454	143
76	460	137
77	465	131
78	469	124
79	476	119
80	480	112
81	485	106
82	490	100
83	495	94
84	499	88
85	504	82
86	509	76
87	513	70
88	517	63
89	522	58
90	527	52
91	531	46
92	535	40
93	540	34
94	544	28
95	548	22
96	555	17
97	559	11
98	562	5
99	566	0
